Title_Abstract	Status
"Title: MicroRNA-146A contributes to abnormal activation of the type I interferon pathway in human lupus by targeting the key signaling proteins. Abstract: MicroRNA have recently been identified as regulators that modulate target gene expression and are involved in shaping the immune response. This study was undertaken to investigate the contribution of microRNA-146a (miR-146a), which was identified in the pilot expression profiling step, to the pathogenesis of systemic lupus erythematosus (SLE). Methods: TaqMan microRNA assays of peripheral blood leukocytes were used for comparison of expression levels of microRNA between SLE patients and controls. Transfection and stimulation of cultured cells were conducted to determine the biologic function of miR-146a. Bioinformatics prediction and validation by reporter gene assay and Western blotting were performed to identify miR-146a targets. Results: Profiling of 156 miRNA in SLE patients revealed the differential expression of multiple microRNA, including miR-146a, a negative regulator of innate immunity. Further analysis showed that underexpression of miR-146a negatively correlated with clinical disease activity and with interferon (IFN) scores in patients with SLE. Of note, overexpression of miR-146a reduced, while inhibition of endogenous miR-146a increased, the induction of type I IFNs in peripheral blood mononuclear cells (PBMCs). Furthermore, miR-146a directly repressed the transactivation downstream of type I IFN. At the molecular level, miR-146a could target IFN regulatory factor 5 and STAT-1. More importantly, introduction of miR-146a into the patients' PBMCs alleviated the coordinate activation of the type I IFN pathway. Conclusion: The microRNA miR-146a is a negative regulator of the IFN pathway. Underexpression of miR-146a contributes to alterations in the type I IFN pathway in lupus patients by targeting the key signaling proteins. The findings provide potential novel strategies for therapeutic intervention."	1
"Title: miR-145 inhibits breast cancer cell growth through RTKN. Abstract: MicroRNAs (miRNAs) represent a class of small non-coding RNAs regulating gene expression by inducing RNA degradation or interfering with translation. Aberrant miRNA expression has been described for several human malignancies. Herein, we show that miR-145 is down-regulated in human cancer cell line MCF-7 when compared to normal human mammary epithelial cell line MCF10A. Overexpression of miR-145 by plasmid inhibits MCF-7 cell growth and induces apoptosis. Subsequently, RTKN is identified as a potential miR-145 target by bioinformatics. Using reporter constructs, we show that the RTKN 3' untranslated region (3'UTR) carries the directly binding site of miR-145. Additionally, overexpression of miR-145 in MCF-7 reduces RTKN protein expression as well as mRNA level. Furthermore, down-regulation of RTKN by siRNA can inhibit MCF-7 cell growth. Taken together, we propose that loss of miR-145 may provide a selective growth advantage for MCF-7 by targeting RTKN."	1
"Title: Altered microRNA expression profile with miR-146a upregulation in CD4+ T cells from patients with rheumatoid arthritis. Abstract: Increasing evidence indicates that microRNAs (miRNAs) play a critical role in the pathogenesis of inflammatory diseases. The aim of the study was to investigate the expression pattern and function of miRNAs in CD4+ T cells from patients with rheumatoid arthritis (RA). Methods: The expression profile of miRNAs in CD4+ T cells from synovial fluid (SF) and peripheral blood of 33 RA patients was determined by microarray assay and validated by qRT-PCR analysis. The correlation between altered expression of miRNAs and cytokine levels was determined by linear regression analysis. The role of miR-146a overexpression in regulating T cell apoptosis was evaluated by flow cytometry. A genome-wide gene expression analysis was further performed to identify miR-146a-regulated genes in T cells. Results: miRNA expression profile analysis revealed that miR-146a expression was significantly upregulated while miR-363 and miR-498 were downregulated in CD4+ T cells of RA patients. The level of miR-146a expression was positively correlated with levels of tumor necrosis factor-alpha (TNF-alpha), and in vitro studies showed TNF-alpha upregulated miR-146a expression in T cells. Moreover, miR-146a overexpression was found to suppress Jurkat T cell apoptosis. Finally, transcriptome analysis of miR-146a overexpression in T cells identified Fas associated factor 1 (FAF1) as a miR-146a-regulated gene, which was critically involved in modulating T cell apoptosis. Conclusions: We have detected increased miR-146a in CD4+ T cells of RA patients and its close correlation with TNF-alpha levels. Our findings that miR-146a overexpression suppresses T cell apoptosis indicate a role of miR-146a in RA pathogenesis and provide potential novel therapeutic targets."	1
"Title: Identification of LATS transcriptional targets in HeLa cells using whole human genome oligonucleotide microarray. Abstract: Human LATS1 and LATS2) (LATS1/2) are tumor suppressors that have been shown to be mutated or downregulated in several human cancers including leukemia, lung, prostate and breast cancers. However, the precise mechanisms and the proteins modulated by LATS1/2 that are responsible for these events remain largely unknown. To elucidate potential signaling pathways, the current study investigated the expression profile in HeLa cells with reduced expression of LATS1/2. Using RNA-mediated interference, both LATS1 and LATS2 were substantially knocked-down, and accordingly, this lead to an increase in multiple phenotypes associated with tumor progression, including enhanced cell proliferation, resistance to drug-induced cell death, and increased cell migration. Using whole human genome Oligo (60-mer) arrays (Agilent), genes modulated by loss of LATS1/2 were identified and functionally grouped into categories including cell proliferation, cell death, cell adhesion and motility, as well as cell communication. Selected genes, including known tumor suppressor genes and oncogenes such as CDKN1A, WISP2, SLIT2, TP53INP1, BIRC4BP, SPRY2, SPRY4, SPRED1, FAT4, and CYR61 were confirmed by qRT-PCR to be significantly differentially expressed. Importantly, the collection of genes identified suggests that LATS1/2 function through diverse mechanisms and multiple signaling pathways including the Hippo signaling pathway, as well as the p53, Ras-ERK, or WNT networks, to inhibit tumor progression."	1
"Title: MicroRNA-10b promotes migration and invasion through KLF4 in human esophageal cancer cell lines. Abstract: Recently, microRNAs have emerged as regulators of cancer metastasis through acting on multiple signaling pathways involved in metastasis. In this study, we have analyzed the level of miR-10b and cell motility and invasiveness in several human esophageal squamous cell carcinoma cell lines. Our results reveal a significant correlation of miR-10b level with cell motility and invasiveness. Overexpression of miR-10b in KYSE140 cells increased cell motility and invasiveness, whereas inhibition of miR-10b in EC9706 cells reduced cell invasiveness, although it did not alter cell motility. Additionally, we identified KLF4, a known tumor suppressor gene that has been reported to suppress esophageal cancer cell migration and invasion, as a direct target of miR-10b. Furthermore, overexpression of miR-10b in KYSE140 and KYSE450 cells led to a reduction of endogenous KLF4 protein, whereas silencing of miR-10b in EC9706 cells caused up-regulation of KLF4 protein. Coexpression of miR-10b and KLF4 in KYSE140 cells and coexpression of small interfering RNA for KLF4 mRNA and miR-10b-AS in EC9706 cells partially abrogated the effect of miR-10b on cell migration and invasion. Finally, analyses of the miR-10b level in 40 human esophageal cancer samples and their paired normal adjacent tissues revealed an elevated expression of miR-10b in 95% (38 of 40) of cancer tissues, although no significant correlation of the miR-10b level with clinical metastasis status was observed in these samples."	1
"Title: MicroRNA-21 regulates breast cancer invasion partly by targeting tissue inhibitor of metalloproteinase 3 expression. Abstract: MicroRNAs are non-coding RNA molecules that posttranscriptionally regulate expression of target genes and have been implicated in the progress of cancer proliferation, differentiation and apoptosis. The aim of this study was to determine whether microRNA-21 (miR-21), a specific microRNA implicated in multiple aspects of carcinogenesis, impacts breast cancer invasion by regulating the tissue inhibitor of metalloproteinase 3 (TIMP3) gene. Methods: miR-21 expression was investigated in 32 matched breast cancer and normal breast tissues, and in four human breast cancer cell lines, by Taqman quantitative real-time PCR. Cell invasive ability was determined by matrigel invasion assay in vitro, in cells transfected with miR-21 or anti-miR-21 oligonucleotides. In addition, the regulation of tissue inhibitor of metalloproteinase 3 (TIMP3) by miR-21 was evaluated by western blotting and luciferase assays. Results: Of the 32 paired samples analyzed, 25 breast cancer tissues displayed overexpression of miR-21 in comparison with matched normal breast epithelium. Additionally, incidence of lymph node metastasis closely correlated with miR-21 expression, suggesting a role for miR-21 in metastasis. Similarly, each of the four breast cancer cell lines analyzed overexpressed miR-21, to varied levels. Further, cells transfected with miR-21 showed significantly increased matrigel invasion compared with control cells, whereas transfection with anti-miR-21 significantly decreased cell invasion. Evaluation of TIMP3 protein levels, a peptidase involved in extarcellular matrix degredation, inversely correlated with miR-21 expression. Conclusion: As knockdown of miR-21 increased TIMP3 protein expression and luciferase reporter activity, our data suggests that miR-21 could promote invasion in breast cancer cells via its regulation of TIMP3."	1
"Title: MicroRNA let-7a inhibits proliferation of human prostate cancer cells in vitro and in vivo by targeting E2F2 and CCND2. Abstract: Previous work has shown reduced expression levels of let-7 in lung tumors. But little is known about the expression or mechanisms of let-7a in prostate cancer. In this study, we used in vitro and in vivo approaches to investigate whether E2F2 and CCND2 are direct targets of let-7a, and if let-7a acts as a tumor suppressor in prostate cancer by down-regulating E2F2 and CCND2. Methodology/principal: Findings Real-time RT-PCR demonstrated that decreased levels of let-7a are present in resected prostate cancer samples and prostate cancer cell lines. Cellular proliferation was inhibited in PC3 cells and LNCaP cells after transfection with let-7a. Cell cycle analysis showed that let-7a induced cell cycle arrest at the G1/S phase. A dual-luciferase reporter assay demonstrated that the 3'UTR of E2F2 and CCND2 were directly bound to let-7a and western blotting analysis further indicated that let-7a down-regulated the expression of E2F2 and CCND2. Our xenograft models of prostate cancer confirmed the capability of let-7a to inhibit prostate tumor development in vivo. Conclusions/significance: These findings help to unravel the anti-proliferative mechanisms of let-7a in prostate cancer. Let-7a may also be novel therapeutic candidate for prostate cancer given its ability to induce cell-cycle arrest and inhibit cell growth, especially in hormone-refractory prostate cancer."	1
"Title: MicroRNA-21 and microRNA-148a contribute to DNA hypomethylation in lupus CD4+ T cells by directly and indirectly targeting DNA methyltransferase 1. Abstract: Systemic lupus erythematosus is a complex autoimmune disease caused by genetic and epigenetic alterations. DNA methylation abnormalities play an important role in systemic lupus erythematosus disease processes. MicroRNAs (miRNAs) have been implicated as fine-tuning regulators controlling diverse biological processes at the level of posttranscriptional repression. Dysregulation of miRNAs has been described in various disease states, including human lupus. Whereas previous studies have shown miRNAs can regulate DNA methylation by targeting the DNA methylation machinery, the role of miRNAs in aberrant CD4+ T cell DNA hypomethylation of lupus is unclear. In this study, by using high-throughput microRNA profiling, we identified that two miRNAs (miR-21 and miR-148a) overexpressed in CD4+ T cells from both patients with lupus and lupus-prone MRL/lpr mice, which promote cell hypomethylation by repressing DNA methyltransferase 1 (DNMT1) expression. This in turn leads to the overexpression of autoimmune-associated methylation-sensitive genes, such as CD70 and LFA-1, via promoter demethylation. Further experiments revealed that miR-21 indirectly downregulated DNMT1 expression by targeting an important autoimmune gene, RASGRP1, which mediated the Ras-MAPK pathway upstream of DNMT1; miR-148a directly downregulated DNMT1 expression by targeting the protein coding region of its transcript. Additionally, inhibition of miR-21 and miR-148a expression in CD4+ T cells from patients with lupus could increase DNMT1 expression and attenuate DNA hypomethylation. Together, our data demonstrated a critical functional link between miRNAs and the aberrant DNA hypomethylation in lupus CD4+ T cells and could help to develop new therapeutic approaches."	1
"Title: MiR-145, a new regulator of the DNA fragmentation factor-45 (DFF45)-mediated apoptotic network. Abstract: MicroRNA-145 (miR-145) is considered to play key roles in many cellular processes, such as proliferation, differentiation and apoptosis, by inhibiting target gene expression. DNA Fragmentation Factor-45 (DFF45) has been found to be the substrate of Caspase-3, and the cleavage of DFF45 by caspase-3 during apoptosis releases DFF40 that degrades chromosomal DNA into nucleosomal fragments. There are currently no in-depth studies on the relationship between miR-145 and the DFF45 gene. Results: In this study, we identified DFF45 as a novel target of miR-145. We demonstrated that miR-145 targets a putative binding site in the coding sequence (CDS) of DFF45, and its abundance is inversely associated with DFF45 expression in colon cancer cells. Using a luciferase reporter system, we found that miR-145 suppresses the expression of the luciferase reporter gene fused to the putative binding site of DFF45. The level of DFF45 protein, but not DFF45 mRNA, was decreased by miR-145, suggesting a mechanism of translational regulation. Furthermore, we demonstrate that this specific silencing of DFF45 by miR-145 accounts, at least in part, for the staurosporine-induced tumor cell apoptosis in vitro. Conclusions: Our study reveals a previously unrecognized function of miR-145 in DFF45 processing, which may underlie crucial aspects of cancer biology."	1
"Title: Downregulation of miR-21 enhances chemotherapeutic effect of taxol in breast carcinoma cells. Abstract: The successful of anti-cancer treatment are often limited by the development of drug resistance. Recent work has highlighted the involvement of non-coding RNAs, microRNAs(miRNAs) in cancer development, and their possible involvement in the evolution of drug resistance has been proposed. In this study, we combine taxol chemotherapy and miR-21 inhibitor treatment via polyamidoamine (PAMAM) dendrimers vector to evaluate the effects of combination therapy on suppression of breast cancer cells. The 50% inhibitory concentration (IC50) values for taxol were significantly decreased to a greater extent in the cells transfected with miR-21 inhibitor compared with cells treated with taxol alone. Taxol treatment also increased the percentage of apoptotic breast cancer cells in miR-21 inhibitor transfected cells compared with control cells. Furthermore, treatment of the miR-21 inhibitor-transfected cells with the anti-cancer drugs taxol resulted in significantly reduced cell viability and invasiveness compared with control cells. These results indicated that the miR-21 plays an important role in the resistance of breast carcinoma cells to chemotherapeutic drugs. Therefore, miR-21 inhibitor gene therapy combined with taxol chemotherapy might represent a promising novel therapeutic approach for the treatment of breast malignancies."	1
